fecha,ticker,lado,cantidad,precio,monto_usd,motivo,retorno,dias
2019-10-10,SPY,COMPRA,0.878532,263.4635,231.81,resto a SPY (100% invertido),,
2019-11-08,MCD,VENTA,11.991335,165.0629,1976.36,sale: cayó al puesto #26,-0.1152,64.0
2019-11-08,V,VENTA,13.233942,169.6703,2242.04,sale: cayó al puesto #12,0.0037,64.0
2019-11-08,QCOM,VENTA,36.659018,76.9662,2817.27,sale: momentum negativo (puesto #19),0.1476,42.0
2019-11-08,SPY,VENTA,2.317971,278.5014,644.59,fondea compras,0.0393,
2019-11-08,TSM,COMPRA,54.107023,47.2444,2560.09,entra: puesto #1,,
2019-11-08,AAPL,COMPRA,41.066182,62.2471,2560.09,entra: puesto #3,,
2019-11-08,WMT,COMPRA,70.117347,36.4568,2560.09,entra: puesto #4,,
2019-12-10,PG,VENTA,24.431677,105.1134,2564.24,sale: cayó al puesto #20,0.0446,64.0
2019-12-10,HD,VENTA,12.813174,183.2941,2345.06,sale: cayó al puesto #21,-0.0527,43.0
2019-12-10,WMT,VENTA,70.117347,36.3281,2543.41,sale: cayó al puesto #23,-0.0065,22.0
2019-12-10,SPY,VENTA,0.51509,283.9484,146.04,fondea compras,0.0597,
2019-12-10,NVDA,COMPRA,477.338893,5.2984,2532.92,entra: puesto #3,,
2019-12-10,BAC,COMPRA,89.140905,28.3722,2532.92,entra: puesto #6,,
2019-12-10,JPM,COMPRA,22.713702,111.3479,2532.92,entra: puesto #7,,
2020-02-11,BAC,VENTA,89.140905,29.6039,2634.96,sale: cayó al puesto #21,0.0403,45.0
2020-02-11,BABA,COMPRA,12.713481,206.9468,2634.96,entra: puesto #6,,
2020-03-12,JPM,VENTA,22.713702,75.3448,1708.79,sale: cayó al puesto #22,-0.3254,67.0
2020-03-12,BABA,VENTA,12.713481,175.5063,2227.95,sale: cayó al puesto #15,-0.1545,22.0
2020-03-12,GLOB,COMPRA,21.465954,91.56,1968.37,entra: puesto #7,,
2020-03-12,LLY,COMPRA,16.14713,121.7196,1968.37,entra: puesto #9,,
2020-04-13,TSM,VENTA,54.107023,43.7283,2362.46,sale: cayó al puesto #13,-0.0772,111.0
2020-04-13,GLOB,VENTA,21.465954,94.31,2021.42,sale: cayó al puesto #22,0.0269,22.0
2020-04-13,TSLA,COMPRA,55.628682,39.344,2191.94,entra: puesto #1,,
2020-04-13,BABA,COMPRA,11.781927,185.7637,2191.94,entra: puesto #12,,
2020-05-12,BABA,VENTA,11.781927,194.7508,2291.1,sale: cayó al puesto #13,0.0452,21.0
2020-05-12,WMT,COMPRA,59.847985,38.2246,2291.1,entra: puesto #7,,
2020-06-11,LLY,VENTA,16.14713,141.9844,2289.2,sale: cayó al puesto #14,0.163,65.0
2020-06-11,WMT,VENTA,59.847985,37.1529,2220.19,sale: cayó al puesto #28,-0.0309,22.0
2020-06-11,MELI,COMPRA,2.577002,873.62,2254.7,entra: puesto #3,,
2020-06-11,GLOB,COMPRA,16.386349,137.39,2254.7,entra: puesto #7,,
2020-11-09,AAPL,VENTA,41.066182,116.9826,4796.82,sale: cayó al puesto #11,0.8737,261.0
2020-11-09,QCOM,COMPRA,36.417052,131.5218,4796.82,entra: puesto #5,,
2021-01-11,NVDA,VENTA,477.338893,13.3499,6362.86,sale: cayó al puesto #18,1.5121,284.0
2021-01-11,GLOB,VENTA,16.386349,223.0,3648.67,sale: cayó al puesto #16,0.6183,152.0
2021-01-11,MSTR,COMPRA,105.864125,47.214,5005.77,entra: puesto #2,,
2021-01-11,TSM,COMPRA,45.751323,109.2486,5005.77,entra: puesto #4,,
2021-02-10,QCOM,VENTA,36.417052,130.507,4745.55,sale: cayó al puesto #12,-0.0107,67.0
2021-02-10,VALE,COMPRA,478.032263,9.9124,4745.55,entra: puesto #3,,
2021-03-12,MELI,VENTA,2.577002,1531.0,3939.47,sale: cayó al puesto #11,0.7472,196.0
2021-03-12,PYPL,COMPRA,15.942275,246.7384,3939.47,entra: puesto #2,,
2021-04-13,TSLA,VENTA,55.628682,237.5667,13195.7,sale: cayó al puesto #15,5.0201,261.0
2021-04-13,TSM,VENTA,45.751323,112.0963,5120.86,sale: cayó al puesto #13,0.023,66.0
2021-04-13,VALE,VENTA,478.032263,10.5953,5057.3,sale: cayó al puesto #12,0.0657,44.0
2021-04-13,XOM,COMPRA,157.495567,45.0609,7107.53,entra: puesto #2,,
2021-04-13,GOOGL,COMPRA,63.6557,111.4886,7107.53,entra: puesto #3,,
2021-04-13,UBER,COMPRA,118.975442,59.65,7107.53,entra: puesto #4,,
2021-04-13,SPY,COMPRA,5.355811,382.4247,2051.27,resto a SPY (100% invertido),,
2021-05-12,PYPL,VENTA,15.942275,237.9356,3787.54,sale: cayó al puesto #19,-0.0386,43.0
2021-05-12,GOOGL,VENTA,63.6557,110.2603,7008.17,sale: cayó al puesto #12,-0.014,21.0
2021-05-12,UBER,VENTA,118.975442,45.9,5452.78,sale: cayó al puesto #21,-0.2328,21.0
2021-05-12,SPY,VENTA,5.355811,382.1459,2043.63,fondea compras,-0.0037,
2021-05-12,VALE,COMPRA,463.798264,13.1269,6097.38,entra: puesto #1,,
2021-05-12,BAC,COMPRA,163.884967,37.1495,6097.38,entra: puesto #2,,
2021-05-12,CAT,COMPRA,27.647856,220.2067,6097.38,entra: puesto #3,,
2021-06-11,MSTR,VENTA,105.864125,51.3,5422.68,sale: cayó al puesto #11,0.0833,109.0
2021-06-11,XOM,VENTA,157.495567,52.0913,8191.84,sale: cayó al puesto #16,0.1526,43.0
2021-06-11,ORCL,COMPRA,82.227696,76.3547,6287.89,entra: puesto #3,,
2021-06-11,GOOGL,COMPRA,51.952604,120.85,6287.89,entra: puesto #4,,
2021-06-11,SPY,COMPRA,2.631116,394.1987,1038.74,resto a SPY (100% invertido),,
2021-07-13,CAT,VENTA,27.647856,199.8444,5516.98,sale: cayó al puesto #18,-0.0952,44.0
2021-07-13,SPY,VENTA,2.06654,406.7134,839.23,fondea compras,0.0287,
2021-07-13,NVDA,COMPRA,312.530018,20.3075,6356.21,entra: puesto #1,,
2021-09-10,VALE,VENTA,463.798264,10.9034,5049.41,sale: cayó al puesto #19,-0.1719,87.0
2021-09-10,BAC,VENTA,163.884967,36.4707,5968.03,sale: cayó al puesto #20,-0.0212,87.0
2021-09-10,SPY,VENTA,0.564576,420.5117,237.05,fondea compras,0.0636,
2021-09-10,VIST,COMPRA,1297.6487,4.33,5627.25,entra: puesto #2,,
2021-09-10,MELI,COMPRA,2.949527,1904.99,5627.25,entra: puesto #3,,
2021-10-11,MELI,VENTA,2.949527,1500.04,4417.77,sale: cayó al puesto #15,-0.2149,21.0
2021-10-11,GLOB,COMPRA,16.445418,268.23,4417.77,entra: puesto #2,,
2021-11-09,ORCL,VENTA,82.227696,89.2198,7325.34,sale: cayó al puesto #11,0.165,107.0
2021-11-09,TSLA,COMPRA,18.697252,391.2,7325.34,entra: puesto #2,,
2021-12-09,GLOB,VENTA,16.445418,279.67,4592.39,sale: cayó al puesto #16,0.0395,43.0
2021-12-09,MSTR,COMPRA,73.781385,62.15,4592.39,entra: puesto #6,,
2022-01-10,GOOGL,VENTA,51.952604,133.8047,6941.08,sale: cayó al puesto #13,0.1039,151.0
2022-01-10,VIST,VENTA,1297.6487,5.705,7391.98,sale: cayó al puesto #11,0.3136,86.0
2022-01-10,MSTR,VENTA,73.781385,46.369,3416.04,sale: cayó al puesto #34,-0.2562,22.0
2022-01-10,AMD,COMPRA,45.76622,129.08,5916.37,entra: puesto #2,,
2022-01-10,PFE,COMPRA,136.957296,43.1339,5916.37,entra: puesto #3,,
2022-01-10,HD,COMPRA,17.238017,342.7021,5916.37,entra: puesto #4,,
2022-02-09,NVDA,VENTA,312.530018,25.5128,7961.54,sale: cayó al puesto #12,0.2526,151.0
2022-02-09,TSLA,VENTA,18.697252,311.6667,5818.57,sale: cayó al puesto #20,-0.2057,66.0
2022-02-09,AMD,VENTA,45.76622,129.6,5922.41,sale: cayó al puesto #14,0.001,22.0
2022-02-09,CVX,COMPRA,54.329038,113.1793,6158.14,entra: puesto #1,,
2022-02-09,VIST,COMPRA,921.877275,6.67,6158.14,entra: puesto #2,,
2022-02-09,XOM,COMPRA,89.852394,68.4336,6158.14,entra: puesto #3,,
2022-02-09,SPY,COMPRA,2.869993,427.2642,1228.08,resto a SPY (100% invertido),,
2022-03-11,HD,VENTA,17.238017,284.1462,4890.77,sale: cayó al puesto #23,-0.1733,44.0
2022-03-11,SPY,VENTA,2.869993,401.8285,1151.52,fondea compras,-0.0623,
2022-03-11,PBR,COMPRA,1182.348321,5.1028,6042.28,entra: puesto #2,,
2022-06-10,PFE,VENTA,136.957296,40.3557,5518.71,sale: momentum negativo (puesto #8),-0.0672,109.0
2022-06-10,LLY,COMPRA,19.064064,289.0489,5518.71,entra: puesto #5,,
2022-07-13,VIST,VENTA,921.877275,6.37,5863.55,sale: cayó al puesto #12,-0.0478,110.0
2022-07-13,MRK,COMPRA,70.993019,82.4696,5863.55,entra: puesto #3,,
2022-09-12,CVX,VENTA,54.329038,138.5601,7516.55,sale: momentum negativo (puesto #27),0.2206,153.0
2022-09-12,TSLA,COMPRA,23.392033,300.72,7045.0,entra: puesto #2,,
2022-09-12,SPY,COMPRA,1.218111,386.5306,471.54,resto a SPY (100% invertido),,
2022-10-11,TSLA,VENTA,23.392033,220.95,5160.72,sale: momentum negativo (puesto #14),-0.2675,21.0
2022-10-11,SPY,VENTA,1.218111,340.1329,413.7,fondea compras,-0.1227,
2022-10-11,VIST,COMPRA,490.834724,11.34,5574.41,entra: puesto #2,,
2022-12-09,PBR,VENTA,1182.348321,6.2256,7349.83,sale: cayó al puesto #17,0.2164,195.0
2022-12-09,CAT,COMPRA,32.481916,219.0895,7127.12,entra: puesto #5,,
2022-12-09,SPY,COMPRA,0.593044,374.9779,222.71,resto a SPY (100% invertido),,
2023-01-11,LLY,VENTA,19.064064,344.3593,6555.04,sale: cayó al puesto #13,0.1878,153.0
2023-01-11,SPY,VENTA,0.593044,374.1151,221.53,fondea compras,-0.0053,
2023-01-11,VALE,COMPRA,518.19712,13.0576,6776.57,entra: puesto #3,,
2023-03-14,VALE,VENTA,518.19712,11.7327,6070.72,sale: cayó al puesto #18,-0.1042,44.0
2023-03-14,MELI,COMPRA,5.079719,1193.3,6070.72,entra: puesto #2,,
2023-04-13,XOM,VENTA,89.852394,102.1143,9161.45,sale: cayó al puesto #12,0.4877,306.0
2023-04-13,CAT,VENTA,32.481916,208.6912,6768.52,sale: cayó al puesto #21,-0.0503,89.0
2023-04-13,NVDA,COMPRA,298.432379,26.6494,7964.98,entra: puesto #2,,
2023-04-13,AVGO,COMPRA,134.139768,59.2893,7964.98,entra: puesto #4,,
2023-05-12,MRK,VENTA,70.993019,106.2455,7531.37,sale: cayó al puesto #11,0.2844,217.0
2023-05-12,AVGO,VENTA,134.139768,60.181,8060.55,sale: cayó al puesto #15,0.012,21.0
2023-05-12,MSTR,COMPRA,273.228712,28.49,7795.96,entra: puesto #3,,
2023-05-12,META,COMPRA,33.196087,234.4941,7795.96,entra: puesto #4,,
2023-06-13,MELI,VENTA,5.079719,1252.8,6354.33,sale: cayó al puesto #11,0.0467,65.0
2023-06-13,NU,COMPRA,828.304119,7.66,6354.33,entra: puesto #2,,
2023-09-13,NU,VENTA,828.304119,7.46,6169.88,sale: cayó al puesto #11,-0.029,66.0
2023-09-13,LLY,COMPRA,10.575587,582.534,6169.88,entra: puesto #2,,
2023-10-12,MSTR,VENTA,273.228712,33.5,9139.43,sale: cayó al puesto #35,0.1723,109.0
2023-10-12,ADBE,COMPRA,16.481386,553.7,9139.43,entra: puesto #3,,
2023-12-12,LLY,VENTA,10.575587,571.1857,6031.56,sale: cayó al puesto #14,-0.0224,64.0
2023-12-12,COIN,COMPRA,43.051898,139.89,6031.56,entra: puesto #1,,
2024-01-12,VIST,VENTA,490.834724,29.97,14688.25,sale: cayó al puesto #24,1.6349,328.0
2024-01-12,NVDA,VENTA,298.432379,54.4621,16228.89,sale: cayó al puesto #12,1.0375,196.0
2024-01-12,META,VENTA,33.196087,366.6483,12153.03,sale: cayó al puesto #17,0.5589,175.0
2024-01-12,UBER,COMPRA,185.919716,63.2,11767.75,entra: puesto #2,,
2024-01-12,MSTR,COMPRA,223.803407,52.502,11767.75,entra: puesto #3,,
2024-01-12,AMD,COMPRA,79.371297,148.04,11767.75,entra: puesto #4,,
2024-01-12,SPY,COMPRA,16.760996,462.6982,7766.92,resto a SPY (100% invertido),,
2024-02-13,ADBE,VENTA,16.481386,596.7,9819.69,sale: cayó al puesto #24,0.0744,88.0
2024-02-13,SPY,VENTA,6.594167,478.8594,3152.94,fondea compras,0.0318,
2024-02-13,NVDA,COMPRA,184.527654,70.1965,12972.63,entra: puesto #2,,
2024-04-15,AMD,VENTA,79.371297,164.43,13031.45,sale: cayó al puesto #11,0.1074,66.0
2024-04-15,SPY,VENTA,10.166829,500.3564,5079.41,fondea compras,0.0781,
2024-04-15,META,COMPRA,35.294891,512.361,18110.85,entra: puesto #4,,
2024-05-14,UBER,VENTA,185.919716,65.85,12224.45,sale: cayó al puesto #16,0.0388,87.0
2024-05-14,META,VENTA,35.294891,459.4611,16192.3,sale: cayó al puesto #12,-0.1059,21.0
2024-05-14,VIST,COMPRA,317.740087,44.65,14208.38,entra: puesto #4,,
2024-05-14,QCOM,COMPRA,81.004,175.1407,14208.38,entra: puesto #5,,
2024-06-13,MSTR,VENTA,223.803407,156.33,34934.71,sale: cayó al puesto #12,1.9687,109.0
2024-06-13,AVGO,COMPRA,121.120555,167.008,20258.45,entra: puesto #4,,
2024-06-13,SPY,COMPRA,27.776788,527.5728,14676.26,resto a SPY (100% invertido),,
2024-08-14,QCOM,VENTA,81.004,162.6388,13154.63,sale: cayó al puesto #14,-0.0742,66.0
2024-08-14,SPY,VENTA,10.147803,528.9825,5359.96,fondea compras,-0.0003,
2024-08-14,TSM,COMPRA,110.618776,167.1223,18514.59,entra: puesto #2,,
2024-09-13,COIN,VENTA,43.051898,162.24,6974.26,sale: momentum negativo (puesto #40),0.1563,198.0
2024-09-13,SPY,VENTA,17.628985,545.4118,9600.63,fondea compras,0.0307,
2024-09-13,MELI,COMPRA,7.74468,2136.96,16574.9,entra: puesto #1,,
2024-10-14,VIST,VENTA,317.740087,49.07,15568.12,sale: cayó al puesto #21,0.0957,109.0
2024-10-14,WMT,COMPRA,197.732996,78.6151,15568.12,entra: puesto #5,,
2024-11-12,MELI,VENTA,7.74468,1980.02,15311.62,sale: cayó al puesto #23,-0.0762,42.0
2024-11-12,MSTR,COMPRA,45.669228,334.77,15311.62,entra: puesto #1,,
2024-12-12,AVGO,VENTA,121.120555,177.8504,21509.02,sale: cayó al puesto #13,0.0617,130.0
2024-12-12,TSM,VENTA,110.618776,190.5442,21046.15,sale: cayó al puesto #16,0.1367,86.0
2024-12-12,COIN,COMPRA,66.150803,317.76,21051.61,entra: puesto #2,,
2024-12-12,TSLA,COMPRA,49.477638,424.84,21051.61,entra: puesto #3,,
2025-01-15,NVDA,VENTA,184.527654,133.3015,24560.92,sale: cayó al puesto #17,0.8933,241.0
2025-01-15,NFLX,COMPRA,231.617252,83.644,19402.45,entra: puesto #4,,
2025-01-15,SPY,COMPRA,9.676057,578.9561,5610.42,resto a SPY (100% invertido),,
