puntaje,top_n,rebalanceo_dias,buffer,max_por_sector,in_retorno_anual (CAGR),in_max_drawdown,in_retorno/caida (MAR),in_compras_por_anio,in_spy_retorno_anual,out_retorno_anual (CAGR),out_max_drawdown,out_retorno/caida (MAR),out_compras_por_anio,out_spy_retorno_anual
r252,8,5,5,3,0.366203056969056,-0.3824116531509981,0.9576147953432212,35.35910518053375,0.09991605249306557,0.5927807759132644,-0.370810687106495,1.5986075820490597,38.376745040411464,0.2233035152271916
r252,10,21,5,no,0.34617592977664713,-0.3629921452608862,0.953673335074088,23.891287284144425,0.09991605249306557,0.6308288273543674,-0.3569151538853038,1.7674475865966928,26.83688464364438,0.2233035152271916
r252,8,5,10,3,0.3532971819473918,-0.38202508618268727,0.9248010005773349,23.31789638932496,0.09991605249306557,0.6078286986761869,-0.3830884113662334,1.5866538392755016,27.37362233651727,0.2233035152271916
mix,10,5,5,no,0.3625850813957492,-0.4026713526052843,0.9004491604625537,60.588304552590266,0.09991605249306557,0.438469691631276,-0.36128332975097643,1.213644958192514,70.84937545922116,0.2233035152271916
r252,10,21,10,3,0.33390904928482135,-0.372005620197997,0.8975914103316529,22.553375196232338,0.09991605249306557,0.5798769997418936,-0.34341840380709343,1.6885437510437697,26.568515797207937,0.2233035152271916
r252,10,5,10,3,0.3217017524603132,-0.36551941398548493,0.8801222045981071,35.35910518053375,0.09991605249306557,0.5952668679493951,-0.3493595162786223,1.7038805019258614,39.45022042615724,0.2233035152271916
mix,5,5,10,no,0.39355281186209723,-0.44897693495715474,0.8765546316976248,24.65580847723705,0.09991605249306557,0.5439276412434539,-0.4060922490395762,1.3394189190506929,24.958302718589273,0.2233035152271916
mix,8,5,10,no,0.34364884759688463,-0.39759022194582627,0.8643292229749769,38.22605965463108,0.09991605249306557,0.42323279305824935,-0.3751985185006992,1.1280236253317206,43.4757531227039,0.2233035152271916
mix,5,5,5,no,0.37188842483175555,-0.4303052893589806,0.8642432106418032,30.963108320251177,0.09991605249306557,0.37685639838816765,-0.41716334741276506,0.9033784984357328,32.740999265246145,0.2233035152271916
r252,10,21,5,3,0.3148675334174187,-0.37481209541049776,0.8400676959812964,27.905023547880692,0.09991605249306557,0.618692288047624,-0.3386941044159849,1.8266993135721803,31.130786186627482,0.2233035152271916
r252,10,5,10,no,0.333024785847851,-0.3992964562955956,0.8340289040815221,26.375981161695446,0.09991605249306557,0.5414912337901416,-0.37398281978979153,1.4479040349888355,27.105253490080823,0.2233035152271916
r252,8,5,10,no,0.3395125023843366,-0.41646656202236854,0.8152215167903475,19.877551020408163,0.09991605249306557,0.6056092181103869,-0.38262843115538103,1.582760633551708,22.00624540778839,0.2233035152271916
r126,10,5,5,3,0.3602874599156942,-0.44469601502878453,0.8101881908979404,79.51020408163265,0.09991605249306557,0.5899925946996065,-0.32541217420277124,1.813062452703351,81.04739162380604,0.2233035152271916
mix,10,5,10,no,0.3297544502147127,-0.41129198052395877,0.8017526862416023,45.680141287284144,0.09991605249306557,0.43381931501719206,-0.36138312467214284,1.2004415408460631,53.67376928728876,0.2233035152271916
mix,10,21,10,no,0.3155975858314126,-0.39382505842483106,0.8013649184582051,32.68328100470958,0.09991605249306557,0.29240969309896525,-0.3782614878328424,0.7730358561593351,39.45022042615724,0.2233035152271916
r252,10,5,5,3,0.29764758123935686,-0.37589998237414224,0.791826536834208,49.12048665620094,0.09991605249306557,0.48612349454648807,-0.3575276991066242,1.359680650649429,52.331925055106545,0.2233035152271916
mix,5,5,5,3,0.3370950112380695,-0.44637470954336533,0.7551839385858412,33.06554160125589,0.09991605249306557,0.5479489786225971,-0.4161860984411758,1.3165960628549076,34.88795003673769,0.2233035152271916
mix,8,5,5,no,0.3275831305691115,-0.43805334658878103,0.7478156099481359,48.73822605965463,0.09991605249306557,0.44382121217600856,-0.37149107388941416,1.1947022240112442,53.40540044085232,0.2233035152271916
mix,8,21,10,3,0.26916425324571036,-0.3650649574043465,0.7373050953986351,30.0074568288854,0.09991605249306557,0.3850803228977493,-0.38412727790203016,1.002481065653354,33.546105804555474,0.2233035152271916
mix,8,5,10,3,0.3189968293687784,-0.43901541840273917,0.7266187381968907,42.23979591836735,0.09991605249306557,0.5586099321698326,-0.3423683841486356,1.6316048970436419,48.30639235855988,0.2233035152271916
