ticker,cedear,sector,ratio,precio_usd,precio_ars,fecha_ars,ccl_implicito,estado,prima
OXY,OXY,Energía / Industria,5.0,57.029998779296875,18490.0,2026-09-25,1621.0766610354785,normal,0.002614285961897611
PANW,PANW,Tecnología,50.0,378.8550109863281,12160.0,2026-09-25,1604.8355765893277,normal,-0.007430608074651457
PAAS,PAAS,Materiales / Minería,3.0,47.70000076293945,25560.0,2026-09-25,1607.5471440993472,normal,-0.005753539748247327
PAGS,PAGS,Latam / Brasil,3.0,9.0649995803833,4850.0,2026-09-25,1605.0745365158389,normal,-0.00728281454837898
PDD,PDD,China,25.0,77.55000305175781,5010.0,2026-09-25,1615.0869770618401,normal,-0.0010902536596467671
PINS,PINS,Comunicación,7.0,18.94499969482422,4292.5,2026-09-25,1586.038558143075,barato,-0.019056313188229534
PLTR,PLTR,Tecnología,3.0,191.66000366210938,103050.0,2026-09-25,1613.0125957057887,normal,-0.0023732308513494393
PM,PM,Consumo,18.0,188.69500732421875,17030.0,2026-09-25,1624.5262889934238,normal,0.004747834827921293
RACE,RACE,Consumo,83.0,405.8299865722656,7990.0,2026-09-25,1634.1079317506524,normal,0.010673953032130257
RBLX,RBLX,Comunicación,2.0,47.159000396728516,38080.0,2026-09-25,1614.9621357386388,normal,-0.0011674663523765227
RIO,RIO,Materiales / Minería,8.0,93.72000122070312,18970.0,2026-09-25,1619.2914855241766,normal,0.0015101787265017208
ROKU,ROKU,Comunicación,13.0,152.85000610351562,19120.0,2026-09-24,1626.1693822351963,normal,0.005764066075317098
RTX,RTX,Energía / Industria,5.0,188.125,61075.0,2026-09-25,1623.2558139534883,normal,0.003962062966778257
SAP,SAP,Tecnología,6.0,211.1300048828125,56800.0,2026-09-25,1614.1713262838255,normal,-0.001656571448962918
SBUX,SBUX,Consumo,12.0,94.26000213623047,12690.0,2026-09-25,1615.5314719801872,normal,-0.0008153394832328686
SCCO,SCCO,Materiales / Minería,2.0,201.93499755859375,162725.0,2026-09-25,1611.6572359160623,normal,-0.0032115027976805655
SCHW,SCHW,Financieras,13.0,99.31500244140625,9810.0,2025-07-28,,precio en pesos viejo (2025-07-28),
SE,SE,Consumo,32.0,100.38600158691406,5050.0,2026-09-25,1609.786199723145,normal,-0.004368713719076656
SHEL,SHEL,Energía / Industria,2.0,95.5250015258789,77600.0,2026-09-25,1624.705548504539,normal,0.004858704443811979
SHOP,SHOP,Tecnología,107.0,142.67999267578125,2134.0,2026-09-25,1600.3505166899163,normal,-0.010204557781429924
SLB,SLB,Energía / Industria,3.0,51.48500061035156,27840.0,2026-09-24,1622.2200448650183,normal,0.0033214536050998333
